"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","b_intent_walk","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Tucker, Kyle",663656,2025,28,160,190,43,23,8,2,10,23,29,12.1,15.3,".269",".531",".379","0.910","0.262",".258","0","3","1",".298",".586",".390",".416",".404",".288",".397",".432",".312",".346","72.3",27.2,17.4,14.3,38.8,32,"7.6",7,"90.8","18.6",37.7,14.5,44.9,"100.554462029","94.834848913",20,45.8
"Hoerner, Nico",663538,2025,28,146,157,41,32,8,1,0,15,8,9.6,5.1,".281",".349",".318","0.667","0.068",".308","1","0","2",".273",".345",".298",".288",".311",".073",".304",".293",".308",".300","68.4",3.5,9.2,8.3,40.6,36.8,"7.2",5,"86.7","11.7",32.3,0.8,29.3,"95.935113939","92.006587045",10.9,48.9
"Mervis, Matt",670223,2025,27,91,104,18,9,2,0,7,40,10,38.5,9.6,".198",".451",".288","0.739","0.253",".244","2","1","1",".163",".330",".319",".263",".261",".167",".484",".372",".346",".292","73.4",34.7,17.7,10.2,30.1,17.3,"8.3",5,"90.8","22.2",30.8,11.5,44.2,"101.538074615","95.262459038",42.7,54.1
"Castro, Willi",650489,2025,28,86,94,19,12,6,0,1,22,5,23.4,5.3,".221",".326",".287","0.613","0.105",".286","3","0","0",".226",".330",".273",".274",".292",".104",".319",".321",".297",".304","71.2",17.4,14.2,10.7,26.1,19.7,"7.1",2,"86","17.2",37.5,6.3,37.5,"99.078679688","93.554823281",25.1,53.5
"Ornelas, Tirso",672359,2025,25,14,16,1,1,0,0,0,2,2,12.5,12.5,".071",".071",".188","0.259","0.000",".083","0","0","0",".176",".387",".143",".293",".279",".211",".075",".275",".083",".206","72.9",34.8,10,8.7,35,30.4,"7.6",1,"90.5","17.7",16.7,8.3,41.7,"99.520206667","94.265940833",14.3,45.2
"Capra, Vinny",681962,2025,28,54,59,4,3,0,0,1,15,2,25.4,3.4,".074",".130",".121","0.251","0.056",".077","1","0","1",".153",".236",".119",".200",".201",".082",".119",".238",".100",".217","68.1",0,7.9,5.8,41.3,30.2,"7.3",2,"85.3","9.4",22,2.4,31.7,"96.1913","92.227543846",26.5,45.4
"Maton, Nick",665155,2025,28,54,63,9,5,2,0,2,19,9,30.2,14.3,".167",".315",".286","0.601","0.148",".212","0","0","0",".137",".261",".277",".243",".260",".124",".319",".258",".257",".211","71.4",10.7,9.1,5.8,34.8,22.3,"6.8",4,"89","28.4",22.9,5.7,37.1,"98.372717222","93.408373143",40.5,46.4
"Campusano, Luis",669134,2025,26,6,10,0,0,0,0,0,1,4,10,40,".000",".000",".400","0.400","0.000",".000","0","0","0",".136",".149",".279",".355",".481",".014",".000",".152",".000",".163","74.1",40,25,20,37.5,30,"8.4",1,"87.8","-12",0,0,40,"97.160826667","93.496496",23.1,25.5
"Triolo, Jared",669707,2025,27,67,75,10,6,3,0,1,9,5,12,6.7,".149",".239",".216","0.455","0.090",".155","1","0","1",".238",".397",".209",".302",".297",".159",".191",".307",".169",".270","72.3",21.2,16.1,13.3,37.6,31,"7.6",1,"89.6","17.7",21.7,5,36.7,"99.191311034","94.016907719",21.2,50.4
"Hays, Austin",669720,2025,29,61,67,20,12,3,0,5,17,6,25.4,9,".328",".623",".388","1.011","0.295",".385","0","1","0",".303",".629",".431",".415",".365",".326",".567",".543",".455",".420","71.8",18.7,18.1,12.1,34.7,23.4,"7.1",5,"91.5","20.4",36.4,18.2,47.7,"101.924673182","95.370356136",36,51.2
"Shaw, Matt",807713,2025,23,58,68,10,8,1,0,1,18,10,26.5,14.7,".172",".241",".294","0.535","0.069",".231","0","0","0",".202",".256",".257",".272",".319",".054",".263",".289",".250",".293","68.2",10.2,6.3,4.5,26.6,19.3,"6.7",5,"82.7","13.2",30,2.5,22.5,"93.7691735","91.188384872",30.8,43
"Anderson, Tim",641313,2025,32,66,71,13,12,1,0,0,21,3,29.6,4.2,".197",".212",".243","0.455","0.015",".289","1","0","0",".193",".240",".212",".217",".240",".046",".267",".275",".289",".284","68.8",0.8,7.8,5.5,31.1,21.9,"7",8,"88.1","-1.4",17.4,0,34.8,"96.818467391","92.556118",32.9,54.4
"Stallings, Jacob",607732,2025,35,61,70,10,7,3,0,0,24,5,34.3,7.1,".164",".213",".261","0.474","0.049",".270","3","0","0",".196",".270",".228",".259",".289",".074",".272",".330",".270",".323","66.9",0,2.3,1.6,28.7,19.7,"7.2",10,"85.9","15.6",44.7,2.6,36.8,"95.42657","91.827719459",36.7,55.5
"Trevino, Jose",624431,2025,32,87,94,27,14,10,0,3,12,5,12.8,5.3,".310",".529",".344","0.873","0.219",".329","0","0","1",".269",".413",".376",".312",".306",".144",".414",".335",".355",".308","69",3.2,18.5,15.9,43.5,37.3,"7.2",3,"88.9","4.9",29.9,6.5,45.5,"100.413084474","94.619145467",15.1,46.9
"Abreu, Wilyer",677800,2025,26,136,158,38,21,7,0,10,31,22,19.6,13.9,".279",".551",".380","0.931","0.272",".295","0","4","0",".285",".605",".397",".411",".385",".320",".462",".484",".362",".369","74.4",42.6,18,15.5,25.3,21.8,"7",9,"91","26.3",32.4,15.2,48.6,"103.399104151","96.08237981",18.5,51.6
"Freeman, Freddie",518692,2025,35,109,126,41,21,10,1,9,20,13,15.9,10.3,".376",".734",".437","1.171","0.358",".386","1","2","2",".327",".641",".486",".437",".399",".314",".564",".497",".446",".394","69.3",8.4,17.7,13.8,45.6,35.5,"7",3,"93","17",42.4,14.1,46.7,"101.585249783","95.52717087",25.4,50.2
"Baldwin, Drake",686948,2025,24,66,72,20,14,3,0,3,13,6,18.1,8.3,".303",".485",".361","0.846","0.182",".340","0","0","0",".278",".484",".372",".355",".338",".207",".426",".403",".377",".346","75.1",50.4,26.6,21.4,40.4,32.5,"7.1",2,"94.1","9.9",34,11.3,66,"103.28584","97.248577547",21.5,45
