avg_type,id,pos,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,overall_ecr,pos_ecr,sd_ecr,uncertainty,adp,adp_sd,adp_diff,aav,aav_sd,first_name,last_name,team,position,age,exp
average,13116,QB,355.43666666666667,12.525623071661261,11.846000000000004,343.179,364.75199999999995,93.45933333333335,99.86399999999995,78.24539999999996,4,4,7,1,1,26.15,1.75,0.9,0.03,15.855,4.188761750207333,-11.855,41.394666666666666,8.326462447455638,Patrick,Mahomes,KCC,QB,28,3
average,14783,QB,343.59066666666666,36.43761904040018,2.640666666666675,308.0612,371.2862,81.61333333333334,64.74619999999996,84.77960000000002,9,17,3,2,1,27.37,2.36,0.93,0.3,22.291666666666668,3.977195061290752,-13.291666666666668,35.886,5.132852877948745,Jalen,Hurts,PHI,QB,25,0
average,13589,QB,340.95,16.95379898429848,31.103999999999985,324.235,352.513,78.97266666666667,80.91999999999999,66.00639999999999,10,8,13,3,2,27.22,2.19,0.9,0.04,19.905,3.4689467661909528,-9.905000000000001,36.45266666666667,7.76959035099163,Josh,Allen,BUF,QB,27,2
average,13593,QB,309.846,14.629000922824488,12.045999999999992,296.682,323.0142,47.868666666666684,53.36699999999999,36.507600000000025,30,25,30,4,3,38.84,4.57,1.27,0.05,38.79666666666667,7.677396838917618,-8.796666666666667,29.647333333333336,10.684494726263642,Lamar,Jackson,BAL,QB,26,2
average,5848,QB,297.8,NA,0.38400000000001455,297.8,297.8,35.82266666666669,54.484999999999985,11.29340000000002,34,24,70,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tom,Brady,TBB,QB,46,20
average,14777,QB,297.416,19.054296838246227,2.3899999999999864,281.633,315.5342,35.43866666666668,38.317999999999955,29.027600000000007,36,36,40,6,3,42.62,5.53,1.12,0.09,37.513333333333335,6.432639858996892,-1.5133333333333354,26.07,7.995027621382348,Joe,Burrow,CIN,QB,27,0
average,14779,QB,295.026,13.831395735788895,17.675333333333356,282.9078,307.7658,33.04866666666669,39.59279999999998,21.25920000000002,41,35,54,7,4,45.78,6.12,1.18,0.03,47.303333333333335,10.476259934834673,-6.303333333333335,23.880000000000003,11.620166378613806,Justin,Herbert,LAC,QB,25,0
average,7836,QB,277.35066666666665,14.448604823073186,3.0033333333333303,266.33079999999995,291.43,15.373333333333335,23.015799999999928,4.923400000000015,67,57,86,8,4,117.31,15.08,2.67,0.23,98.97833333333334,15.350263208022055,-31.97833333333334,13.068,8.321062111693836,Aaron,Rodgers,NYJ,QB,40,15
average,10703,QB,274.3473333333333,16.059024918510282,1.4413333333333185,259.8828,288.78900000000004,12.370000000000005,16.56779999999995,2.2824000000000524,69,65,91,9,4,131.4,16.79,2.33,0.2,128.05,11.745234494608159,-59.05000000000001,10.236666666666668,6.896425805363886,Russell,Wilson,DEN,QB,35,8
average,15238,QB,272.906,30.249217312188424,2.1573333333333267,243.31500000000003,295.4592,10.928666666666686,0,8.952600000000018,72,96,76,10,4,46.31,5.97,1.39,0.27,49.755,8.874483553048782,22.244999999999997,22.699333333333335,8.523149704709457,Justin,Fields,CHI,QB,24,-1
average,12620,QB,270.7486666666667,17.32983512135453,1.071333333333314,255.32160000000005,286.5066,8.77133333333336,12.00660000000002,0,75,73,96,11,4,88.42,10.88,2.1,0.19,84.38666666666667,11.465292068770959,-9.38666666666667,16.318,9.719055235292508,Dak,Prescott,DAL,QB,30,4
average,10700,QB,269.67733333333337,10.665785546940887,7.7000000000000455,259.32120000000003,277.95120000000003,7.7000000000000455,16.006200000000007,-8.555399999999963,78,67,125,12,5,99.06,12.97,1.97,0.09,101.15666666666667,17.50055300713539,-23.156666666666666,14.342000000000002,9.341928851509559,Kirk,Cousins,MIN,QB,35,8
