pos,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,overall_ecr,pos_ecr,sd_ecr,uncertainty,adp,adp_sd,adp_diff,aav,aav_sd,first_name,last_name,team,position,age,exp
QB,360.59749999999997,2.7428099999999493,7.81899999999996,357.975,364.75199999999995,98.55899999999997,103.5,94.24019999999996,3,1,8,1,1,26.15,1.75,0.9,0.02,15.855,4.188761750207333,-12.855,41.394666666666666,8.326462447455638,Patrick,Mahomes,KCC,QB,28,3
QB,352.7785,27.18791879999995,16.65100000000001,331.0652,371.2862,90.74000000000001,76.59019999999998,100.77440000000001,7,7,4,2,2,27.37,2.36,0.93,0.74,22.291666666666668,3.977195061290752,-15.291666666666668,35.886,5.132852877948745,Jalen,Hurts,PHI,QB,25,0
QB,336.1275,16.293774000000013,21.78800000000001,323.136,347.211,74.089,68.661,76.69920000000002,16,16,15,3,3,27.22,2.19,0.9,0.44,19.905,3.4689467661909528,-3.905000000000001,36.45266666666667,7.76959035099163,Josh,Allen,BUF,QB,27,2
QB,314.3395,2.4907679999999255,0.5679999999999836,310.00800000000004,323.1822,52.30099999999999,55.533000000000015,52.67040000000003,27,20,31,4,3,38.84,4.57,1.27,0.02,38.79666666666667,7.677396838917618,-11.796666666666667,29.647333333333336,10.684494726263642,Lamar,Jackson,BAL,QB,26,2
QB,313.7715,10.751815200000014,22.194500000000005,296.4638,324.4448,51.733000000000004,41.98879999999997,53.93299999999999,28,34,29,5,4,42.62,5.53,1.12,0.22,37.513333333333335,6.432639858996892,-9.513333333333335,26.07,7.995027621382348,Joe,Burrow,CIN,QB,27,0
QB,291.577,5.33439480000002,1.100999999999999,283.98900000000003,296.4882,29.5385,29.51400000000001,25.976400000000012,47,47,56,6,4,46.31,5.97,1.39,0.08,49.755,8.874483553048782,-2.7550000000000026,22.699333333333335,8.523149704709457,Justin,Fields,CHI,QB,24,-1
QB,290.476,4.851067200000071,6.261499999999955,286.0272,297.3312,28.4375,31.55219999999997,26.81940000000003,49,44,54,7,5,84.2,10.56,2.5,0.14,79.43833333333333,14.540222850959182,-30.438333333333333,14.904666666666667,8.51951740938939,Deshaun,Watson,CLE,QB,28,3
QB,284.21450000000004,3.350675999999986,10.978500000000054,279.62600000000003,292.89020000000005,22.176000000000045,25.15100000000001,22.378400000000056,58,53,60,8,6,45.78,6.12,1.18,0.04,47.303333333333335,10.476259934834673,10.696666666666665,23.880000000000003,11.620166378613806,Justin,Herbert,LAC,QB,25,0
QB,273.236,5.266195199999946,4.36749999999995,269.4552,277.95120000000003,11.197499999999991,14.980199999999968,7.439400000000035,72,65,77,9,7,99.06,12.97,1.97,0.1,101.15666666666667,17.50055300713539,-29.156666666666666,14.342000000000002,9.341928851509559,Kirk,Cousins,MIN,QB,35,8
QB,268.86850000000004,4.2372708000000054,5.097500000000082,256.0172,275.3942,6.830000000000041,1.5421999999999798,4.882400000000018,75,93,81,10,8,96.95,12.52,2.51,0.11,114.06666666666666,15.440660247829076,-39.06666666666666,11.944666666666668,7.658984498976061,Daniel,Jones,NYG,QB,26,1
QB,263.77099999999996,10.95344880000005,1.2539999999999623,252.3872,272.2412,1.732499999999959,-2.0878000000000156,1.7293999999999983,88,101,93,11,8,117.31,15.08,2.67,0.39,98.97833333333334,15.350263208022055,-10.978333333333339,13.068,8.321062111693836,Aaron,Rodgers,NYJ,QB,40,15
QB,262.517,9.42933600000002,0.4784999999999968,256.136,269.9492,0.4784999999999968,1.6610000000000014,-0.5625999999999749,93,92,98,12,9,60.76,8.17,0.81,0.15,58.17666666666667,9.685196034269119,34.82333333333333,21.074,10.51375949252534,Trevor,Lawrence,JAC,QB,24,-1
QB,262.0385,1.5448691999999602,0.14949999999998909,257.3342,272.7692,0,2.859199999999987,2.2574000000000183,95,88,91,13,9,131.4,16.79,2.33,0.06,128.05,11.745234494608159,-33.05000000000001,10.236666666666668,6.896425805363886,Russell,Wilson,DEN,QB,35,8
QB,261.889,12.083189999999966,7.542500000000018,254.47500000000002,269.4294,-0.14949999999998909,0,-1.082400000000007,96,96,100,14,10,88.42,10.88,2.1,0.36,84.38666666666667,11.465292068770959,11.61333333333333,16.318,9.719055235292508,Dak,Prescott,DAL,QB,30,4
