,,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,,,-additional
Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Juuse Saros,29,NSH,G,15,15,5,8,2,38,441,403,.914,2.55,2,893:14,10,.667,2,87,5.7,2.69,3.2,0,1,1,0,,sarosju01
2,Jordan Binnington,31,STL,G,14,13,5,7,1,43,378,335,.886,3.20,0,805:09,6,.462,2,115,-5.6,3.35,1.7,0,0,0,0,,binnijo01
3,Connor Hellebuyck,31,WPG,G,14,14,12,2,0,30,408,378,.926,2.14,3,839:59,10,.714,1,74,10.4,2.21,3.5,0,0,0,0,,helleco01
4,Jacob Markström,35,NJD,G,14,14,8,5,1,36,386,350,.907,2.58,1,836:24,8,.571,3,94,2.2,2.73,2.5,0,0,0,0,,marksja02
5,Sam Montembeault,28,MTL,G,14,13,5,8,1,36,352,316,.898,3.09,1,697:57,8,.615,4,103,-1.1,3.27,2.0,0,0,0,0,,montesa01
6,Andrei Vasilevskiy,30,TBL,G,14,14,8,5,1,29,363,334,.920,2.15,2,809:44,8,.571,3,81,7.0,2.22,2.8,0,0,0,4,,vasilan02
7,Sergei Bobrovsky,36,FLA,G,13,13,9,3,1,37,359,322,.897,2.89,1,767:45,7,.538,2,104,-1.4,3.05,2.0,0,0,0,0,,bobrose01
8,Filip Gustavsson,26,MIN,G,13,13,8,3,2,27,368,341,.927,2.08,1,779:25,11,.846,1,74,9.5,2.16,3.1,1,0,1,0,,gustafi01
9,Kevin Lankinen,29,VAN,G,13,13,8,3,2,35,355,320,.901,2.71,1,774:00,8,.615,2,100,0.2,2.87,2.1,0,0,0,0,,lankike01
10,Petr Mrázek,32,CHI,G,13,13,5,8,0,36,382,346,.906,2.79,0,775:24,8,.615,2,95,1.8,2.94,2.4,0,0,0,0,,mrazepe01
11,Jeremy Swayman,26,BOS,G,13,13,5,6,2,42,376,334,.888,3.35,1,752:52,6,.462,4,113,-4.8,3.51,1.7,0,0,0,0,,swaymje01
12,Joey Daccord,28,SEA,G,12,12,8,3,1,30,366,336,.918,2.51,0,718:16,8,.667,0,83,6.3,2.59,2.8,0,0,0,0,,daccojo01
13,Lukáš Dostál,24,ANA,G,12,12,4,6,2,33,425,392,.922,2.75,1,720:09,8,.667,1,78,9.1,2.92,3.4,0,0,0,0,,dostalu01
14,Adin Hill,28,VEG,G,12,12,8,3,1,36,315,279,.886,3.16,1,682:48,4,.333,4,115,-4.8,3.34,1.4,0,0,0,0,,hillad01
15,Connor Ingram,27,UTA,G,12,12,6,3,3,39,321,282,.879,3.40,0,688:51,3,.250,1,123,-7.2,3.57,1.2,0,0,0,2,,ingraco01
16,Ukko-Pekka Luukkonen,25,BUF,G,12,12,6,4,1,33,341,308,.903,2.83,0,699:16,7,.583,2,98,0.8,3.00,2.1,0,1,1,0,,luukkuk01
17,Jake Oettinger,26,DAL,G,12,12,9,3,0,26,314,288,.917,2.27,1,686:35,9,.750,2,84,5.1,2.36,2.4,0,0,0,0,,oettija01
18,Igor Shesterkin,29,NYR,G,12,12,7,4,1,32,370,338,.914,2.78,1,690:25,8,.667,3,87,4.6,2.87,2.7,0,0,0,0,,shestig01
19,Stuart Skinner,26,EDM,G,12,12,5,5,2,38,308,270,.877,3.28,1,694:19,5,.417,3,125,-7.5,3.46,1.0,0,0,0,0,,skinnst01
20,Anthony Stolarz,31,TOR,G,12,12,7,3,2,26,357,331,.927,2.18,1,715:47,10,.833,1,74,9.4,2.26,3.1,0,0,0,0,,stolaan01
21,Mackenzie Blackwood,28,SJS,G,11,10,3,5,3,30,350,320,.914,2.98,1,604:37,6,.600,2,87,4.7,3.08,2.5,0,0,0,0,,blackma01
22,Samuel Ersson,25,PHI,G,11,10,5,2,2,26,265,239,.902,2.70,1,577:52,7,.700,1,99,0.2,2.80,1.6,0,0,0,0,,erssosa01
23,Pyotr Kochetkov,25,CAR,G,11,11,9,2,0,26,272,246,.904,2.42,0,645:14,6,.545,3,97,0.9,2.51,1.7,0,1,1,0,,kochepy01
24,Ilya Sorokin,29,NYI,G,11,11,4,4,3,30,343,313,.913,2.70,0,667:23,8,.727,0,88,4.0,2.79,2.4,0,0,0,0,,sorokil01
25,Alexandar Georgiev,28,COL,G,10,10,4,5,0,32,233,201,.863,3.56,0,538:39,2,.200,4,139,-8.9,3.79,0.5,0,1,1,0,,georgal01
26,Darcy Kuemper,34,LAK,G,10,10,4,2,3,26,258,232,.899,2.65,1,587:40,6,.600,1,102,-0.4,2.76,1.5,0,0,0,0,,kuempda01
27,Alex Nedeljkovic,29,PIT,G,10,9,3,3,3,32,280,248,.886,3.17,0,606:20,3,.333,1,115,-4.3,3.36,1.2,0,0,0,0,,nedelal01
28,David Rittich,32,LAK,G,10,9,6,4,0,22,204,182,.892,2.52,0,524:38,6,.667,2,109,-1.8,2.63,1.0,0,0,0,0,,rittida01
29,Cam Talbot,37,DET,G,10,9,5,3,1,22,302,280,.927,2.42,1,545:41,8,.889,1,74,7.9,2.53,2.6,0,0,0,0,,talboca01
30,Linus Ullmark,31,OTT,G,10,9,4,4,1,25,228,203,.890,2.77,1,541:59,4,.444,3,111,-2.4,2.88,1.1,0,0,0,0,,ullmali01
31,Vítek Vaněček,29,SJS,G,10,9,2,5,1,30,298,268,.899,3.36,0,536:28,4,.444,2,102,-0.5,3.47,1.7,0,1,1,0,,vanecvi01
32,Justus Annunen,24,COL,G,9,7,5,3,0,21,176,155,.881,2.92,0,430:47,3,.429,1,120,-3.6,3.06,0.7,0,0,0,0,,annunju01
33,Elvis Merzļikins,30,CBJ,G,9,9,3,5,1,26,254,228,.898,2.92,1,534:33,4,.444,2,103,-0.8,3.03,1.4,0,0,0,0,,merzlel01
34,Logan Thompson,27,WSH,G,9,9,8,0,1,24,277,253,.913,2.63,0,547:25,5,.556,2,87,3.4,2.74,2.0,0,0,0,0,,thomplo01
35,Daniel Vladař,27,CGY,G,9,9,3,4,2,24,256,232,.906,2.65,1,542:51,7,.778,1,95,1.4,2.76,1.6,0,1,1,0,,vladada01
36,Dustin Wolf,23,CGY,G,9,9,6,2,1,23,292,269,.921,2.53,1,545:37,6,.667,1,80,5.9,2.64,2.3,0,1,1,2,,wolfdu01
37,Joel Blomqvist,23,PIT,G,8,7,3,5,0,25,261,236,.904,3.60,0,416:13,4,.571,1,97,0.9,3.75,1.6,0,0,0,0,,blomqjo01
38,Anton Forsberg,32,OTT,G,8,8,3,4,0,20,206,186,.903,2.76,2,434:52,3,.375,1,98,0.4,2.90,1.3,0,0,0,0,,forsban01
39,Charlie Lindgren,31,WSH,G,8,8,4,4,0,21,204,183,.897,2.66,0,473:23,5,.625,1,104,-0.8,2.79,1.1,0,0,0,0,,lindgch01
40,Daniil Tarasov,25,CBJ,G,8,8,3,4,1,32,230,198,.861,4.04,0,475:38,2,.250,3,140,-9.2,4.29,0.4,0,1,1,0,,tarasda02
41,Jake Allen,34,NJD,G,7,7,4,2,1,16,190,174,.916,2.30,2,417:17,5,.714,1,85,2.8,2.44,1.4,0,0,0,0,,allenja01
42,Philipp Grubauer,33,SEA,G,7,7,1,6,0,21,177,156,.881,3.11,0,404:59,3,.429,2,120,-3.5,3.26,0.7,0,0,0,0,,grubaph01
